Item,Quantity Needed,Quantity of listing needed,Unit cost,Total Cost,Link,Notes
,,,,,,
,,,,,,
Bi-metal Heat break,1,1,$4.97,$4.97,https://www.amazon.com/dp/B0D3GPFPFP/?coliid=I3GXA0WSL7BK1P&colid=18YERCSNZYYLR&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,Needed in order to print pa6-cf
Hardened steel nozzle,1,1,$8.99,$8.99,https://www.amazon.com/dp/B0CR7SCWQJ/ref=twister_B0CR7TP6VS?_encoding=UTF8&coliid=I3SG8SOQVT0KDE&colid=18YERCSNZYYLR&th=1,Necccary to print CF. Might need more depending on how fast these wear through
structural epoxy,2,2,$6,$12,https://www.homedepot.com/p/Gorilla-0-85-fl-oz-Epoxy-42001/100670610,For joining bearings to rods and 3d printed pieces too big to be printed all at once. Also for joining pulleys to shafts and motor
double sided tape,1,1,$6.50,$6.50,https://www.homedepot.com/p/Gorilla-1-in-x-1-67-yds-Tough-and-Clear-Double-Sided-Mounting-Tape-6065003/304544003,For mounting the electronics in the base. I know I'm not supposed to use tape but from experience this is more than strong enough for static components
Plywood 24x24x1,6,N/a,$0,$0,https://www.homedepot.com/p/Columbia-Forest-Products-3-4-in-x-2-ft-x-2-ft-PureBond-Red-Oak-Plywood-Project-Panel-Free-Custom-Cut-Available-2854/204771251,Owned and theres a lot cheaper ways to get it if you get it used but those aren't online
Tap and die,1,1,$6.99,$6.99,https://www.amazon.com/Fixinus-Piece-Metric-Thread-Tapping/dp/B0CZ3SJKN4/ref=sr_1_4?crid=WE9WGJSU9LA3&dib=eyJ2IjoiMSJ9.Qd7jAjtINbZHKZf2axsz9eYyE4A5jggGxjDKD6jSga2r703H0eqDdCjZBrqn3DmoEmCJkBPMkbRGa54VzrvEVpucGy9d8YMQV3ddCSjn6Dj07DdVz6zjY4gSqdwQ-yIDY-QfoXQ7jQC_QhIHQwR-ia0OBYhljX73CTieNemRhfpFsM0VyS5Epk3EJgHqIWju7kAGy52eZOkFFWxP0COkEyqtBI7bFqE8Tk3o6Mg7QZgZSLjeRI5ieMBMOodGiEy6feVQqxgROqIyNSlaqStuQxn2Yi8mbjvy6rBABFqMQhs.KUYV47XsQQZsnokPftK5X1LgD3PeJoMrBxYlt9JDCf4&dib_tag=se&keywords=metric+tap+set&qid=1781656270&s=industrial&sprefix=metric+tap+s%2Cindustrial%2C215&sr=1-4,All the 12mm and 4mm rods will be tapped
,,,,,,
,,,Total:,$720.05,,
